geoid,E
101,105450
102,39100
103,56150
104,70244
105,26500
106,0
107,60750
200,84000
401,61703
402,53900
403,10800
404,57350
405,76050
406,35350
407,27000
408,35700
409,50689
501,25800
502,70450
503,30000
504,677944
601,56550
602,25950
603,25500
604,76550
605,78749
606,63499
607,36250
608,37700
609,62981
610,113546
611,3350
612,16500
613,10750
614,10750
615,60275
616,153499
617,32350
618,33450
619,12500
620,30700
621,136799
622,146849
623,535260
624,17550
625,16850
626,14350
627,14100
628,2000
629,26750
630,4000
631,14032
632,19750
633,21700
634,35750
635,6500
636,21800
637,23250
638,28000
639,130650
640,16764
641,3000
642,111000
643,13400
644,16500
645,2000
646,19600
647,23000
648,23600
649,124700
650,64900
651,32500
652,68650
653,9450
801,18000
802,6200
803,217688
804,1155230
805,81850
806,469986
807,61400
901,32100
902,25750
903,5000
904,29000
905,8166
1000,19750
1198,8250
1201,27600
1202,140800
1203,15100
1204,40250
1205,11000
1206,44400
1207,48500
1208,24600
1209,2500
1210,24650
1211,33450
1212,68500
1213,46800
1214,10500
1215,57750
1216,16000
1217,36750
1218,68250
1219,1750
1220,10500
1221,13500
1222,7600
1223,15500
1224,7000
1225,20000
1226,32750
1227,5500
1301,149067
1302,47500
1303,35550
1304,9500
1305,10750
1306,57250
1307,39450
1308,28100
1309,46250
1310,47050
1311,31050
1312,284450
1313,17400
1314,39700
1501,29650
1502,31400
1601,23850
1602,345637
1701,62000
1702,18250
1703,14500
1704,3000
1705,8500
1706,164050
1707,24500
1708,25000
1709,8500
1710,33325
1711,48150
1712,51950
1713,261050
1714,54000
1715,345700
1716,214600
1717,65750
1718,125900
1801,71450
1802,92140
1803,66600
1804,122250
1805,70950
1806,71400
1807,15500
1808,138750
1809,128350
1901,75325
1902,32000
1903,42276
1904,55651
2001,79251
2002,194401
2003,103951
2004,520001
2101,457550
2102,135200
2103,20500
2104,44450
2105,138600
2106,297010
2201,414524
2202,109500
2203,283050
2204,206350
2205,25173
2206,863653
2301,3500
2302,2000
2401,69450
2402,45550
2403,8000
2404,8000
2405,289750
2406,54600
2407,50650
2408,15250
2501,66000
2502,17450
2503,6000
2504,27950
2505,25350
2506,11550
2507,24800
2508,18550
2509,15600
2601,184305
2602,36650
2603,33750
2604,181899
2605,30050
2606,570500
2607,129250
2608,87300
2609,60500
2610,64500
2611,18850
2612,52500
2613,16000
2614,137550
2701,36750
2702,129600
2703,74650
2704,7750
2705,5250
2706,11400
2707,76250
2708,37609
2801,132300
2802,66500
2803,191100
2804,92950
2901,12000
2902,143200
2903,51998
2904,48400
2905,16250
2906,54750
2907,117650
2908,112465
3000,663402
3101,19300
3102,268607
3103,53500
3201,33500
3202,54500
3203,80000
3204,59950
3301,7250
3302,36700
3401,56700
3402,98000
3403,21677
3404,7000
3405,60350
3406,46838
3407,60998
3408,12000
3409,35250
3410,22700
3411,75879
3412,9500
3501,33200
3502,396332
3503,98350
3601,31948
3602,14000
3603,113750
3604,6000
3605,23950
3606,3000
3607,4500
3608,7100
3609,3000
3610,5700
3611,51982
3612,10650
3613,18550
3614,68075
3615,0
3616,28000
3617,3600
3618,28200
3619,75475
3620,53500
3621,17700
3622,20600
3623,298032
3624,50700
3625,14500
3626,11000
3627,59950
3701,57250
3702,122750
3703,17550
3704,9250
3705,28200
3706,5000
3707,37500
3708,76050
3709,50850
3710,47800
3711,18000
3712,0
3713,37750
3800,302850
3901,31050
3902,43450
3903,59100
3904,62050
3905,159975
3906,478912
3907,123050
3908,1757612
3909,95200
3910,38000
3911,59950
3912,195450
3913,102400
3914,139880
3915,188200
3916,115449
4001,74500
4002,160800
4003,122417
4004,155750
4005,642957
4101,13250
4102,264800
4103,26842
4104,27750
4105,45750
4201,26525
4202,10500
4203,185050
4204,64600
4205,179330
4206,64600
4207,107400
4208,84100
4209,400788
4210,73000
4211,59700
4212,252981
4213,8500
4214,133000
4215,142049
4216,119250
4217,500
4218,245400
4401,9500
4402,8600
4501,24600
4502,66550
4503,69650
4504,44000
4505,47200
4506,148750
4507,67400
4600,142800
4701,6500
4702,21750
4703,74900
4704,4250
4705,8700
4706,71125
4707,145100
4708,48200
4709,2500
4801,57250
4802,99100
4803,52550
4804,76950
4805,108400
4806,263250
4807,93550
4808,367450
4809,10000
4810,141150
4811,305036
4812,107700
4813,125200
4814,120300
4815,22500
4816,22700
4817,273688
4818,18000
4819,125450
4820,72150
4821,116050
4822,319699
4823,79500
4824,81815
4825,239512
4826,100650
4827,113025
4828,178950
4829,162800
4830,18570
4831,65249
4832,186950
4833,62250
4834,42000
4835,17150
4836,24950
4901,152499
4902,111150
4903,62600
4904,100500
5000,74650
5101,36650
5102,61832
5103,19250
5104,38600
5105,65613
5106,81750
5107,29200
5108,16000
5109,166400
5110,4000
5111,24400
5301,50849
5302,54150
5303,42861
5304,88200
5305,184040
5306,31425
5307,13500
5308,39400
5309,22099
5310,30849
5401,353300
5402,753815
5403,117650
5501,413124
5502,26850
5503,81990
5504,14350
5505,11500
5506,6250
5507,73000
5508,81600
5600,133800
