geoid,G
101,351859
102,77100
103,30600
104,84094
105,20210
106,27100
107,75905
200,137900
401,116861
402,179898
403,53514
404,54902
405,76350
406,68802
407,23200
408,34767
409,132101
501,82300
502,61980
503,204256
504,923698
601,95973
602,98819
603,76726
604,61900
605,318641
606,62273
607,144874
608,96950
609,50395
610,290824
611,31200
612,150450
613,98350
614,77757
615,184815
616,149250
617,170545
618,59452
619,58910
620,60715
621,518516
622,245450
623,565932
624,68509
625,31450
626,101159
627,47000
628,52100
629,218031
630,70256
631,22366
632,30526
633,24100
634,155500
635,12750
636,212046
637,81650
638,92896
639,125563
640,34542
641,58990
642,152872
643,53950
644,43400
645,6802
646,85416
647,40850
648,46651
649,189578
650,81550
651,91032
652,167962
653,54100
801,42258
802,57266
803,73566
804,2128380
805,15000
806,679170
807,88691
901,160030
902,70925
903,56095
904,154147
905,143467
1000,52859
1198,6750
1201,34200
1202,212764
1203,50217
1204,71000
1205,39100
1206,101873
1207,66050
1208,65821
1209,36250
1210,81791
1211,35450
1212,86191
1213,847741
1214,41750
1215,120500
1216,237803
1217,65919
1218,276904
1219,24900
1220,41400
1221,74430
1222,106813
1223,131000
1224,31000
1225,82896
1226,253807
1227,55896
1301,2022160
1302,126338
1303,111500
1304,56350
1305,74100
1306,153950
1307,56800
1308,100450
1309,83441
1310,77001
1311,80350
1312,209225
1313,71250
1314,78850
1501,139100
1502,77283
1601,17518
1602,712750
1701,27000
1702,52451
1703,111949
1704,16800
1705,76700
1706,308867
1707,69950
1708,100800
1709,66125
1710,196298
1711,67301
1712,54305
1713,417634
1714,58707
1715,113585
1716,129079
1717,115891
1718,298595
1801,23850
1802,144499
1803,100509
1804,98200
1805,116516
1806,106950
1807,43684
1808,57650
1809,276950
1901,143012
1902,45250
1903,86258
1904,86825
2001,43650
2002,219244
2003,168686
2004,203600
2101,101285
2102,150148
2103,84944
2104,36952
2105,66950
2106,340064
2201,189494
2202,87798
2203,158625
2204,79452
2205,30650
2206,923837
2301,31300
2302,1500
2401,68605
2402,35750
2403,46700
2404,29800
2405,262201
2406,74800
2407,38500
2408,51700
2501,127031
2502,63015
2503,72200
2504,153100
2505,105055
2506,73893
2507,25822
2508,98650
2509,70366
2601,415350
2602,83351
2603,128284
2604,200700
2605,78950
2606,252414
2607,159756
2608,34100
2609,97850
2610,59150
2611,31050
2612,29000
2613,85650
2614,427437
2701,91700
2702,312193
2703,266208
2704,115450
2705,69183
2706,11182
2707,140518
2708,84305
2801,66900
2802,98458
2803,73550
2804,55300
2901,40500
2902,175052
2903,93298
2904,80152
2905,40950
2906,90950
2907,123823
2908,115050
3000,767414
3101,52162
3102,237290
3103,94019
3201,103600
3202,101100
3203,644844
3204,168852
3301,34934
3302,109193
3401,75816
3402,112200
3403,20500
3404,13250
3405,61040
3406,193933
3407,76750
3408,32850
3409,109021
3410,19255
3411,61600
3412,63942
3501,113550
3502,134157
3503,188550
3601,85343
3602,60650
3603,333850
3604,5450
3605,94541
3606,93915
3607,52250
3608,73900
3609,32760
3610,82950
3611,128081
3612,61859
3613,85129
3614,241959
3615,16800
3616,63950
3617,114320
3618,224181
3619,572177
3620,31750
3621,20174
3622,66395
3623,357670
3624,101359
3625,41510
3626,45060
3627,123510
3701,77547
3702,139647
3703,37900
3704,34394
3705,108650
3706,5500
3707,64700
3708,165648
3709,71650
3710,125350
3711,31550
3712,0
3713,130956
3800,65725
3901,114550
3902,81400
3903,72687
3904,61400
3905,64317
3906,112850
3907,67410
3908,1386734
3909,20250
3910,86678
3911,123400
3912,283075
3913,70750
3914,146898
3915,180122
3916,111796
4001,22086
4002,149723
4003,111762
4004,237766
4005,211848
4101,48650
4102,261556
4103,95998
4104,85850
4105,121570
4201,34000
4202,27200
4203,106778
4204,43850
4205,69403
4206,80550
4207,133400
4208,162969
4209,196382
4210,76500
4211,71644
4212,106076
4213,21450
4214,37900
4215,92111
4216,78240
4217,28400
4218,89242
4401,107550
4402,34550
4501,138059
4502,78450
4503,34418
4504,58450
4505,55101
4506,161888
4507,64252
4600,171500
4701,40850
4702,16250
4703,113300
4704,43838
4705,65500
4706,143900
4707,161828
4708,98552
4709,49700
4801,48350
4802,77950
4803,59340
4804,38350
4805,177650
4806,97550
4807,44350
4808,182150
4809,12200
4810,152466
4811,107510
4812,62260
4813,68875
4814,62697
4815,62511
4816,34350
4817,77200
4818,49800
4819,43210
4820,112271
4821,112300
4822,87523
4823,195980
4824,66000
4825,118573
4826,25000
4827,66999
4828,188200
4829,35650
4830,52382
4831,89773
4832,216299
4833,113432
4834,45450
4835,45750
4836,28200
4901,46750
4902,24200
4903,126400
4904,61500
5000,104394
5101,66200
5102,111650
5103,42500
5104,59100
5105,56977
5106,284463
5107,34745
5108,31800
5109,49443
5110,5750
5111,114673
5301,199128
5302,52550
5303,97850
5304,40700
5305,235290
5306,170254
5307,30350
5308,119149
5309,58198
5310,123163
5401,34350
5402,593099
5403,112750
5501,462685
5502,42114
5503,180161
5504,71550
5505,17881
5506,10750
5507,158327
5508,157985
5600,29000
