geoid,H
101,142950
102,81380
103,102900
104,66544
105,53000
106,3000
107,81050
200,15750
401,181524
402,360499
403,28400
404,154300
405,130100
406,63550
407,0
408,22250
409,286668
501,64147
502,99738
503,37980
504,913368
601,10600
602,80958
603,65562
604,31800
605,325525
606,192550
607,1067881
608,55850
609,111740
610,125499
611,15350
612,322600
613,101325
614,198161
615,213051
616,65776
617,261780
618,361637
619,47750
620,70320
621,109150
622,284550
623,674379
624,438265
625,20350
626,178820
627,82418
628,75900
629,94816
630,106650
631,24800
632,9500
633,182850
634,333420
635,13050
636,936651
637,86505
638,192626
639,175651
640,65748
641,89112
642,36875
643,22550
644,28150
645,5804
646,118666
647,59548
648,55800
649,166514
650,57050
651,110050
652,351444
653,51925
801,243799
802,37880
803,57650
804,540151
805,25726
806,302150
807,102750
901,238538
902,154679
903,184648
904,147550
905,234457
1000,98158
1198,10213
1201,108700
1202,241890
1203,27260
1204,53300
1205,25000
1206,74509
1207,46750
1208,85254
1209,59999
1210,74700
1211,48600
1212,310316
1213,91550
1214,112741
1215,66420
1216,422674
1217,20450
1218,279370
1219,23460
1220,89800
1221,54350
1222,73400
1223,114426
1224,25750
1225,39250
1226,274619
1227,62850
1301,571438
1302,82750
1303,38100
1304,42250
1305,88974
1306,736598
1307,43850
1308,89050
1309,66650
1310,89806
1311,549710
1312,605953
1313,102000
1314,59850
1501,134951
1502,112711
1601,10500
1602,625256
1701,35000
1702,80650
1703,22800
1704,17000
1705,35450
1706,491607
1707,79950
1708,250807
1709,155144
1710,224100
1711,310100
1712,73800
1713,447522
1714,57600
1715,421006
1716,191259
1717,398606
1718,355050
1801,59050
1802,174900
1803,93700
1804,154250
1805,176176
1806,123125
1807,152930
1808,196951
1809,313600
1901,1230349
1902,207339
1903,87500
1904,43200
2001,37050
2002,335451
2003,153508
2004,300100
2101,341400
2102,502532
2103,86500
2104,40110
2105,91220
2106,282887
2201,318025
2202,106448
2203,425251
2204,270237
2205,28000
2206,1788035
2301,23058
2302,29250
2401,389162
2402,97050
2403,107555
2404,17450
2405,523212
2406,83050
2407,100400
2408,165950
2501,255449
2502,83100
2503,84800
2504,259340
2505,197572
2506,122725
2507,61650
2508,106251
2509,72550
2601,539743
2602,33200
2603,70709
2604,528050
2605,75701
2606,916245
2607,110150
2608,172850
2609,209420
2610,29350
2611,13950
2612,60250
2613,36750
2614,734415
2701,133605
2702,393304
2703,521489
2704,79450
2705,179216
2706,6826
2707,44983
2708,48050
2801,106650
2802,85000
2803,148168
2804,37450
2901,42250
2902,177447
2903,62700
2904,66850
2905,52050
2906,85400
2907,166548
2908,149550
3000,236616
3101,84272
3102,257428
3103,100100
3201,65970
3202,33500
3203,773226
3204,107150
3301,63149
3302,219375
3401,166400
3402,115316
3403,44850
3404,34375
3405,48850
3406,704824
3407,270122
3408,34600
3409,318327
3410,43300
3411,106800
3412,195625
3501,274516
3502,43650
3503,138928
3601,229175
3602,84500
3603,332760
3604,42350
3605,26600
3606,77850
3607,46500
3608,54100
3609,33040
3610,22950
3611,74293
3612,60000
3613,108800
3614,322549
3615,1500
3616,219132
3617,204700
3618,193045
3619,186197
3620,171998
3621,55500
3622,49500
3623,348060
3624,426291
3625,77400
3626,67200
3627,63700
3701,162216
3702,437103
3703,72400
3704,127101
3705,201535
3706,8000
3707,43050
3708,94050
3709,56376
3710,125000
3711,40600
3712,0
3713,130813
3800,39850
3901,47850
3902,149428
3903,78500
3904,41429
3905,140077
3906,222415
3907,20550
3908,1288432
3909,33900
3910,62150
3911,70250
3912,352850
3913,75731
3914,337510
3915,283010
3916,215900
4001,76015
4002,57200
4003,23750
4004,58975
4005,321035
4101,88450
4102,426748
4103,162113
4104,19125
4105,236732
4201,18850
4202,42350
4203,197301
4204,17700
4205,148290
4206,242624
4207,209100
4208,182714
4209,80620
4210,119650
4211,63847
4212,165250
4213,131799
4214,67750
4215,288017
4216,595515
4217,44350
4218,362693
4401,68450
4402,116779
4501,61850
4502,91351
4503,76700
4504,42200
4505,51951
4506,298360
4507,103100
4600,147300
4701,121080
4702,31800
4703,165650
4704,108440
4705,68900
4706,298019
4707,521450
4708,96850
4709,43950
4801,70350
4802,75779
4803,123950
4804,74300
4805,85103
4806,98000
4807,18300
4808,674316
4809,11200
4810,51091
4811,67650
4812,69760
4813,58375
4814,37450
4815,93200
4816,37140
4817,169404
4818,82150
4819,44500
4820,93600
4821,98450
4822,200150
4823,175318
4824,44000
4825,72080
4826,610278
4827,76298
4828,122350
4829,224290
4830,41300
4831,53315
4832,393052
4833,127386
4834,66543
4835,108100
4836,17200
4901,18500
4902,78300
4903,112264
4904,283855
5000,160250
5101,70225
5102,274389
5103,30650
5104,50121
5105,69700
5106,93900
5107,41651
5108,18000
5109,124670
5110,1900
5111,100350
5301,114475
5302,63109
5303,57350
5304,5700
5305,327238
5306,140230
5307,160250
5308,121500
5309,66811
5310,116988
5401,219965
5402,485309
5403,101050
5501,749101
5502,90172
5503,495250
5504,42300
5505,22350
5506,11350
5507,183639
5508,145639
5600,17600
