geoid,J
101,249556
102,52890
103,36250
104,22048
105,12000
106,9500
107,49500
200,24061
401,1534231
402,2115083
403,38358
404,26500
405,97720
406,53111
407,2010
408,43670
409,962991
501,45615
502,38838
503,49000
504,17468801
601,38000
602,48430
603,85321
604,155536
605,43698
606,10210
607,2677856
608,89800
609,54267
610,370677
611,15015
612,220925
613,72663
614,36410
615,92850
616,55986
617,734045
618,39520
619,26810
620,36010
621,391533
622,39584
623,225785
624,454317
625,17500
626,2183792
627,20560
628,50185
629,87766
630,114660
631,282127
632,2010
633,63130
634,61760
635,11050
636,520107
637,5110
638,33660
639,288191
640,6110
641,114872
642,86050
643,48760
644,10310
645,1000
646,66632
647,43777
648,31020
649,194359
650,41150
651,10531
652,1224612
653,32171
801,124769
802,42722
803,57800
804,24865456
805,71053
806,2737131
807,45210
901,12410
902,25165
903,289911
904,36510
905,515456
1000,13600
1198,5500
1201,28475
1202,2798724
1203,263126
1204,46500
1205,12300
1206,64662
1207,18275
1208,35119
1209,61529
1210,53060
1211,28250
1212,21450
1213,1910883
1214,14960
1215,42815
1216,18672
1217,32100
1218,865286
1219,1049204
1220,50765
1221,118880
1222,32860
1223,55310
1224,11510
1225,80532
1226,1336483
1227,219828
1301,2686958
1302,40070
1303,-16400
1304,46260
1305,40910
1306,24943
1307,20618
1308,25335
1309,61625
1310,177142
1311,1203357
1312,1311405
1313,61210
1314,33937
1501,766940
1502,129563
1601,36840
1602,1959390
1701,4510
1702,1007297
1703,36139
1704,10710
1705,40710
1706,111050
1707,17010
1708,291754
1709,183775
1710,2035960
1711,240761
1712,1250802
1713,567209
1714,52498
1715,31000
1716,160970
1717,796897
1718,73372
1801,7000
1802,250221
1803,71959
1804,50409
1805,118761
1806,67091
1807,45582
1808,49993
1809,83299
1901,12931446
1902,208693
1903,130276
1904,281949
2001,299904
2002,406828
2003,78749
2004,518776
2101,40700
2102,17187
2103,31147
2104,63938
2105,69480
2106,144069
2201,69568
2202,53297
2203,44475
2204,61869
2205,327172
2206,8216193
2301,37067
2302,6000
2401,48706
2402,5760
2403,3760
2404,41610
2405,202010
2406,17510
2407,21060
2408,31110
2501,34310
2502,40507
2503,63517
2504,59310
2505,365154
2506,254022
2507,18650
2508,750836
2509,97228
2601,465447
2602,73738
2603,445584
2604,80725
2605,15245
2606,2466321
2607,286197
2608,2566
2609,61295
2610,38312
2611,103888
2612,8600
2613,67855
2614,11799343
2701,55779
2702,212255
2703,123292
2704,22337
2705,62870
2706,20176
2707,692264
2708,1820677
2801,41200
2802,7300
2803,23000
2804,75066
2901,12500
2902,61842
2903,39339
2904,58794
2905,42620
2906,22072
2907,50767
2908,169620
3000,1075037
3101,35800
3102,857469
3103,22189
3201,61060
3202,45000
3203,484333
3204,1069679
3301,2396290
3302,2974883
3401,888357
3402,410070
3403,23684
3404,47774
3405,93173
3406,87314
3407,69975
3408,35490
3409,12260
3410,4510
3411,37500
3412,97938
3501,116228
3502,71438
3503,55608
3601,1315469
3602,20563
3603,111372
3604,16010
3605,21800
3606,28808
3607,61176
3608,56880
3609,23010
3610,36161
3611,2294737
3612,57310
3613,129025
3614,56556
3615,18010
3616,161910
3617,159441
3618,564577
3619,680795
3620,17426
3621,93300
3622,223938
3623,357843
3624,329722
3625,36065
3626,5560
3627,60027
3701,9010
3702,168027
3703,689586
3704,24851
3705,62851
3706,0
3707,84851
3708,54498
3709,49840
3710,31707
3711,90854
3712,0
3713,54400
3800,160109
3901,40818
3902,41500
3903,5510
3904,35916
3905,22475
3906,214895
3907,103581
3908,948644
3909,5409
3910,35317
3911,59656
3912,47585
3913,31700
3914,376222
3915,105611
3916,63235
4001,55931
4002,85589
4003,25665
4004,38200
4005,849312
4101,39050
4102,115601
4103,47621
4104,366595
4105,62160
4201,10
4202,27510
4203,71591
4204,42750
4205,61181
4206,30037
4207,133743
4208,893451
4209,196197
4210,41901
4211,53008
4212,231959
4213,10500
4214,10167
4215,223998
4216,33500
4217,28467
4218,72000
4401,58767
4402,59467
4501,595930
4502,36935
4503,41256
4504,27618
4505,39959
4506,42390
4507,36086
4600,94673
4701,500
4702,4518
4703,132039
4704,138281
4705,21500
4706,35262
4707,41986
4708,27023
4709,48748
4801,92881
4802,11492
4803,13542
4804,290309
4805,28743
4806,14639
4807,4792
4808,91051
4809,3010
4810,27242
4811,37840
4812,51750
4813,59281
4814,28917
4815,1000
4816,16010
4817,37192
4818,10
4819,13792
4820,36881
4821,19492
4822,16542
4823,1431337
4824,8642
4825,41177
4826,30348
4827,30042
4828,25100
4829,0
4830,21710
4831,21142
4832,117202
4833,104928
4834,24654
4835,22110
4836,1167651
4901,49450
4902,45000
4903,35747
4904,73700
5000,29460
5101,30039
5102,128401
5103,6200
5104,25098
5105,52891
5106,48817
5107,268657
5108,24906
5109,27104
5110,200
5111,78031
5301,366806
5302,14331
5303,180169
5304,8250
5305,133737
5306,111782
5307,15783
5308,57150
5309,38155
5310,66350
5401,55509
5402,909513
5403,2445768
5501,338782
5502,35057
5503,38055
5504,73341
5505,16018
5506,20000
5507,175607
5508,104686
5600,32448
