geoid,K
101,176750
102,37191
103,57250
104,80484
105,33010
106,30250
107,152957
200,80663
401,183815
402,164074
403,45592
404,21550
405,70311
406,44834
407,27750
408,24873
409,321064
501,15507
502,29150
503,28977
504,493614
601,5200
602,61959
603,80986
604,13801
605,82250
606,112193
607,167731
608,29745
609,93273
610,112750
611,34797
612,127750
613,76950
614,66100
615,168038
616,72000
617,207579
618,109625
619,123500
620,32450
621,40950
622,92175
623,305050
624,101700
625,27396
626,162780
627,67040
628,110793
629,51948
630,71625
631,19113
632,34750
633,67272
634,133333
635,5350
636,166219
637,98650
638,130526
639,157324
640,36736
641,126043
642,90846
643,62000
644,58761
645,4850
646,148929
647,37275
648,42650
649,125375
650,64014
651,18500
652,283220
653,19700
801,71646
802,48550
803,38450
804,404230
805,12750
806,157791
807,183359
901,102054
902,107087
903,114305
904,150536
905,286533
1000,123850
1198,26350
1201,29734
1202,74400
1203,16950
1204,98920
1205,63750
1206,61022
1207,45350
1208,48500
1209,51050
1210,43491
1211,3750
1212,59235
1213,114349
1214,50943
1215,57751
1216,66750
1217,32124
1218,382790
1219,56518
1220,83360
1221,125833
1222,118923
1223,194525
1224,28350
1225,64500
1226,481403
1227,56820
1301,532175
1302,87294
1303,37665
1304,51573
1305,37300
1306,64524
1307,20000
1308,21650
1309,45750
1310,28700
1311,95574
1312,481286
1313,21500
1314,27300
1501,163050
1502,74157
1601,27350
1602,174346
1701,23250
1702,68335
1703,53430
1704,17250
1705,109406
1706,149994
1707,23750
1708,177917
1709,157825
1710,394266
1711,172759
1712,302044
1713,148081
1714,30890
1715,122250
1716,79257
1717,216801
1718,77733
1801,80594
1802,47147
1803,40875
1804,120467
1805,136825
1806,84460
1807,105371
1808,41176
1809,105404
1901,1728690
1902,80250
1903,46250
1904,13850
2001,11700
2002,112350
2003,126800
2004,117577
2101,114551
2102,77700
2103,37850
2104,36800
2105,101443
2106,117975
2201,147900
2202,182567
2203,109697
2204,36900
2205,17538
2206,297485
2301,14498
2302,9500
2401,35100
2402,80525
2403,100264
2404,30900
2405,259645
2406,121000
2407,44330
2408,115868
2501,120863
2502,84100
2503,106000
2504,412602
2505,242409
2506,200321
2507,60150
2508,271820
2509,99695
2601,51500
2602,45626
2603,34400
2604,138749
2605,64374
2606,284636
2607,55520
2608,46300
2609,100792
2610,35589
2611,7700
2612,31445
2613,87742
2614,952749
2701,124930
2702,130648
2703,154729
2704,65562
2705,83330
2706,2451
2707,50811
2708,116212
2801,59450
2802,80919
2803,76650
2804,51450
2901,38055
2902,114157
2903,51850
2904,40350
2905,95900
2906,29750
2907,44500
2908,72850
3000,200352
3101,37450
3102,221825
3103,36850
3201,93611
3202,54250
3203,72560
3204,147706
3301,21400
3302,198249
3401,175446
3402,96795
3403,16850
3404,29900
3405,76899
3406,243200
3407,66400
3408,52510
3409,202314
3410,39192
3411,109405
3412,70949
3501,209679
3502,35700
3503,98548
3601,106910
3602,97450
3603,186194
3604,14675
3605,70529
3606,44617
3607,82900
3608,174400
3609,20950
3610,154194
3611,87180
3612,95750
3613,156049
3614,265667
3615,10932
3616,82400
3617,191425
3618,436698
3619,160477
3620,65710
3621,45168
3622,45497
3623,188010
3624,290155
3625,49296
3626,94423
3627,32000
3701,55686
3702,89800
3703,39250
3704,53372
3705,70501
3706,3250
3707,40578
3708,85000
3709,45325
3710,108542
3711,8600
3712,0
3713,147142
3800,20950
3901,50421
3902,43765
3903,67700
3904,31950
3905,45520
3906,63561
3907,35000
3908,871582
3909,56650
3910,36750
3911,55569
3912,214082
3913,72150
3914,127642
3915,121300
3916,91200
4001,20953
4002,37750
4003,56679
4004,89498
4005,149400
4101,112400
4102,190476
4103,78297
4104,63125
4105,63395
4201,83100
4202,76753
4203,75653
4204,32750
4205,45891
4206,71441
4207,200649
4208,167258
4209,316160
4210,55850
4211,54921
4212,82201
4213,72053
4214,61932
4215,94890
4216,56025
4217,498240
4218,120624
4401,156750
4402,82475
4501,54300
4502,58676
4503,19500
4504,36000
4505,47064
4506,169142
4507,49807
4600,83049
4701,1250
4702,45650
4703,67000
4704,21590
4705,83100
4706,53510
4707,96741
4708,43335
4709,50050
4801,18550
4802,54144
4803,37150
4804,76569
4805,173799
4806,44450
4807,32050
4808,154000
4809,96518
4810,104831
4811,84363
4812,91293
4813,103110
4814,27317
4815,17850
4816,17150
4817,50450
4818,18650
4819,61950
4820,167500
4821,89950
4822,75360
4823,217848
4824,26950
4825,109125
4826,57375
4827,43808
4828,72608
4829,55250
4830,43452
4831,79550
4832,141345
4833,180488
4834,95050
4835,179350
4836,24050
4901,43048
4902,38817
4903,72146
4904,34900
5000,57105
5101,36393
5102,27550
5103,50750
5104,67242
5105,58638
5106,223656
5107,24000
5108,90610
5109,50303
5110,20500
5111,112367
5301,128250
5302,50499
5303,35050
5304,28050
5305,106845
5306,117074
5307,23850
5308,37750
5309,95378
5310,158255
5401,69320
5402,454487
5403,229488
5501,288149
5502,54717
5503,152705
5504,33804
5505,39830
5506,29802
5507,63083
5508,33575
5600,17000
