geoid,Y
101,207750
102,116100
103,120692
104,88134
105,90870
106,0
107,61884
200,52026
401,125792
402,258677
403,29650
404,38725
405,69429
406,49428
407,4450
408,37100
409,275558
501,85148
502,-47585
503,72975
504,1179243
601,66650
602,104316
603,200053
604,104025
605,120587
606,50250
607,408577
608,44800
609,110730
610,262549
611,23875
612,47350
613,148625
614,167880
615,327008
616,148380
617,620974
618,82550
619,103700
620,62216
621,311143
622,108575
623,565175
624,141751
625,37475
626,234289
627,364096
628,76000
629,130804
630,134425
631,34788
632,22400
633,55350
634,135150
635,4450
636,415186
637,85375
638,52265
639,573548
640,43063
641,141180
642,126273
643,69725
644,62625
645,22650
646,154988
647,109541
648,226915
649,247940
650,82650
651,25700
652,393419
653,34200
801,47129
802,146503
803,99600
804,1271518
805,21223
806,378683
807,125784
901,142550
902,85261
903,72842
904,339774
905,227849
1000,37881
1198,41290
1201,51479
1202,356555
1203,159020
1204,119507
1205,59616
1206,73267
1207,94699
1208,126825
1209,90453
1210,101147
1211,19301
1212,87592
1213,241681
1214,72747
1215,63052
1216,195700
1217,28284
1218,766918
1219,189131
1220,44003
1221,86830
1222,150471
1223,157446
1224,23425
1225,59030
1226,570665
1227,135300
1301,1358082
1302,113080
1303,109200
1304,15550
1305,27850
1306,186557
1307,43850
1308,103350
1309,92430
1310,165762
1311,350125
1312,161192
1313,8800
1314,117600
1501,504872
1502,261415
1601,75250
1602,155352
1701,4050
1702,121352
1703,83916
1704,3599
1705,94287
1706,271725
1707,34647
1708,95289
1709,75325
1710,506101
1711,179979
1712,137173
1713,245898
1714,56900
1715,51623
1716,149430
1717,229399
1718,223694
1801,73738
1802,220628
1803,164273
1804,250074
1805,270600
1806,100200
1807,116674
1808,116946
1809,318936
1901,385811
1902,84652
1903,32036
1904,173685
2001,75882
2002,171735
2003,262511
2004,265590
2101,89801
2102,123675
2103,40454
2104,60578
2105,64850
2106,256975
2201,92400
2202,80905
2203,250810
2204,239775
2205,59131
2206,1927637
2301,34850
2302,2000
2401,121780
2402,112680
2403,80750
2404,10800
2405,158850
2406,199350
2407,55594
2408,80600
2501,38400
2502,52604
2503,168900
2504,329589
2505,228617
2506,123445
2507,45500
2508,557915
2509,112186
2601,165156
2602,99101
2603,262791
2604,34390
2605,51996
2606,168972
2607,157942
2608,10450
2609,13750
2610,93939
2611,61950
2612,6100
2613,22550
2614,1043554
2701,80440
2702,208151
2703,295450
2704,26087
2705,207121
2706,13778
2707,36517
2708,123915
2801,102950
2802,70861
2803,172225
2804,85300
2901,16580
2902,154151
2903,63488
2904,89100
2905,47860
2906,40400
2907,87100
2908,179502
3000,668281
3101,91837
3102,177403
3103,58300
3201,139392
3202,105525
3203,248896
3204,188745
3301,25950
3302,218717
3401,412176
3402,242218
3403,23695
3404,30250
3405,181605
3406,173334
3407,142760
3408,86988
3409,221430
3410,25690
3411,121600
3412,187300
3501,125938
3502,367934
3503,39020
3601,167224
3602,159610
3603,605580
3604,11950
3605,48750
3606,447563
3607,111100
3608,137625
3609,69720
3610,115050
3611,230311
3612,154650
3613,169381
3614,287213
3615,3500
3616,160210
3617,256225
3618,458022
3619,341069
3620,64623
3621,52877
3622,119202
3623,298933
3624,201150
3625,65607
3626,174946
3627,145237
3701,36598
3702,103200
3703,55200
3704,35650
3705,149575
3706,2500
3707,27450
3708,114962
3709,88350
3710,127810
3711,41742
3712,0
3713,192100
3800,258591
3901,96800
3902,124603
3903,42415
3904,138500
3905,121825
3906,267507
3907,75711
3908,1623546
3909,50400
3910,156730
3911,33575
3912,248242
3913,131950
3914,357843
3915,272242
3916,209787
4001,105455
4002,153000
4003,43350
4004,131650
4005,786753
4101,55139
4102,207576
4103,54376
4104,64045
4105,67450
4201,103850
4202,25770
4203,166849
4204,70015
4205,169601
4206,24800
4207,156375
4208,452534
4209,525614
4210,87874
4211,126925
4212,290152
4213,29310
4214,48200
4215,146475
4216,44968
4217,213280
4218,177134
4401,206150
4402,107698
4501,217615
4502,122331
4503,61960
4504,41650
4505,119081
4506,84659
4507,156350
4600,219647
4701,133879
4702,36150
4703,273179
4704,136014
4705,66000
4706,93562
4707,212384
4708,208251
4709,61409
4801,114250
4802,121592
4803,80136
4804,80400
4805,325055
4806,45700
4807,71850
4808,82599
4809,109208
4810,135726
4811,186305
4812,122730
4813,137700
4814,109699
4815,10800
4816,60750
4817,71600
4818,56000
4819,124599
4820,153106
4821,87670
4822,198150
4823,319212
4824,15518
4825,247636
4826,40599
4827,157700
4828,207845
4829,18750
4830,63950
4831,99400
4832,169950
4833,134585
4834,133725
4835,113900
4836,56460
4901,35600
4902,103750
4903,106704
4904,4175
5000,83019
5101,137274
5102,234159
5103,21300
5104,237987
5105,125080
5106,148697
5107,178991
5108,46575
5109,46100
5110,7650
5111,163947
5301,148364
5302,43830
5303,171078
5304,34860
5305,182470
5306,216339
5307,9425
5308,87846
5309,49254
5310,163671
5401,158000
5402,654806
5403,181425
5501,677864
5502,48196
5503,76922
5504,23675
5505,20470
5506,6750
5507,239943
5508,208457
5600,15275
