geoid,Z
101,22000
102,10461
103,4000
104,5500
105,4000
106,0
107,15969
200,1000
401,4555984
402,2963942
403,21824
404,3000
405,12506
406,160000
407,2500
408,3000
409,912332
501,22000
502,18929
503,8000
504,6613949
601,4286
602,3140
603,22224
604,15350
605,4508
606,9464
607,4087749
608,7000
609,16328
610,64384
611,1900
612,345627
613,34662
614,7356
615,41177
616,22400
617,208686
618,234554
619,4200
620,4551
621,160436
622,6500
623,380925
624,264150
625,6000
626,1255350
627,14270
628,11500
629,133954
630,20132
631,137136
632,11627
633,21300
634,65491
635,5400
636,325360
637,6599
638,25225
639,59350
640,5750
641,128411
642,8500
643,78897
644,24934
645,0
646,249664
647,64975
648,11000
649,6000
650,9000
651,48600
652,3349037
653,13500
801,61014
802,870415
803,10453
804,7908693
805,0
806,2067349
807,17800
901,17974
902,38049
903,139102
904,86074
905,360077
1000,64085
1198,4000
1201,9994
1202,3326160
1203,7250
1204,3000
1205,11500
1206,11100
1207,3500
1208,7500
1209,180386
1210,24816
1211,2750
1212,2800
1213,2600281
1214,3510
1215,70000
1216,5472
1217,6420
1218,591032
1219,26866
1220,24000
1221,51720
1222,52073
1223,112762
1224,7250
1225,1250
1226,3996309
1227,18018
1301,50700
1302,21138
1303,-5000
1304,27844
1305,29618
1306,2000
1307,4000
1308,7085
1309,2500
1310,6700
1311,15000
1312,3298399
1313,50538
1314,6000
1501,166522
1502,174738
1601,3500
1602,85250
1701,9250
1702,31789
1703,15000
1704,27694
1705,14014
1706,31343
1707,13114
1708,104684
1709,26493
1710,4116187
1711,420809
1712,3608084
1713,930752
1714,2000
1715,10500
1716,8500
1717,464892
1718,4000
1801,12154
1802,44437
1803,9412
1804,2217
1805,25521
1806,3323
1807,103010
1808,20405
1809,7173
1901,8324849
1902,1342218
1903,36142
1904,8700
2001,750
2002,35417
2003,6000
2004,85007
2101,19524
2102,1500
2103,3850
2104,6500
2105,4400
2106,52935
2201,5500
2202,43954
2203,12800
2204,2937
2205,249800
2206,6733163
2301,109133
2302,3491
2401,5500
2402,12225
2403,2072
2404,89749
2405,128250
2406,663611
2407,60277
2408,4798
2501,66275
2502,76238
2503,248882
2504,61173
2505,137878
2506,274435
2507,76000
2508,864663
2509,90325
2601,730466
2602,7565
2603,275154
2604,76150
2605,44702
2606,92100
2607,50169
2608,5600
2609,37700
2610,910
2611,33650
2612,3950
2613,28689
2614,1550207
2701,15621
2702,12350
2703,8000
2704,5750
2705,45646
2706,500
2707,4807484
2708,3685839
2801,3500
2802,24229
2803,3275
2804,19031
2901,12700
2902,4500
2903,500
2904,6322
2905,24000
2906,500
2907,10450
2908,43380
3000,84166
3101,2000
3102,1057373
3103,0
3201,19643
3202,8000
3203,143739
3204,243440
3301,3403329
3302,987799
3401,69050
3402,53300
3403,500
3404,18500
3405,21750
3406,4085075
3407,8500
3408,19450
3409,6750
3410,29750
3411,7000
3412,686311
3501,50797
3502,2000
3503,119824
3601,2658641
3602,9250
3603,33611
3604,37677
3605,6500
3606,875
3607,170000
3608,337383
3609,9000
3610,1499
3611,1648047
3612,12037
3613,52954
3614,58537
3615,11931
3616,75120
3617,89128
3618,791321
3619,161751
3620,29967
3621,89013
3622,7000
3623,27514
3624,1968820
3625,93331
3626,3000
3627,16369
3701,36680
3702,97953
3703,9200
3704,8100
3705,6200
3706,0
3707,67567
3708,6088
3709,5994
3710,1500
3711,33575
3712,0
3713,14700
3800,19000
3901,16250
3902,7412
3903,35984
3904,500
3905,4000
3906,80090
3907,14438
3908,111704
3909,38222
3910,7475
3911,12755
3912,14213
3913,1200
3914,135142
3915,40817
3916,33608
4001,21550
4002,2500
4003,4000
4004,1500
4005,16500
4101,24659
4102,89850
4103,12575
4104,70775
4105,180664
4201,54599
4202,249
4203,3600
4204,2263
4205,4000
4206,1000
4207,12500
4208,91930
4209,8000
4210,8000
4211,10439
4212,59020
4213,6500
4214,22800
4215,84078
4216,4000
4217,15459
4218,6000
4401,35272
4402,31000
4501,571118
4502,7000
4503,2000
4504,247
4505,4000
4506,19492
4507,6000
4600,7200
4701,826
4702,0
4703,33929
4704,9000
4705,3500
4706,1200
4707,5700
4708,4839
4709,13600
4801,3841
4802,2000
4803,1369
4804,65000
4805,1726
4806,11000
4807,20510
4808,258608
4809,5600
4810,2810
4811,6500
4812,1586
4813,6000
4814,14091
4815,31450
4816,9600
4817,1350
4818,3500
4819,5000
4820,31233
4821,7410
4822,3475
4823,1232835
4824,6447
4825,23500
4826,6500
4827,16167
4828,22603
4829,12350
4830,13200
4831,20334
4832,390679
4833,31355
4834,41205
4835,25579
4836,30416
4901,0
4902,10500
4903,17500
4904,91875
5000,17338
5101,9138
5102,34012
5103,2500
5104,6000
5105,5327
5106,66970
5107,48875
5108,2000
5109,9000
5110,200
5111,77730
5301,208313
5302,4255
5303,35500
5304,500
5305,68144
5306,64601
5307,3439
5308,236
5309,9627
5310,48028
5401,7700
5402,301078
5403,3259233
5501,50426
5502,33538
5503,43534
5504,36629
5505,450
5506,500
5507,65055
5508,16076
5600,1200
